,reg_error_vis,reg_error_all,sim_error_vis,sim_error_all,size,cover,sub,human_error_vis,human_error_all
168,-10.90236156,-7.606168063,-1.023299824,1.458431748,random,R,0,9.965612675,5.517743133
169,-5.867372643,-14.03288748,-5.697635154,1.347576961,random,R,1,1.215612675,-0.232256867
170,-10.12008739,-8.141458266,-3.787608082,4.40553932,random,R,2,0.632279342,2.184409799
171,-8.07008527,-18.63135608,-5.633194651,0.709894497,random,R,3,6.248946008,1.801076466
172,-6.953020648,-5.541415816,-0.287461437,-14.18379262,random,R,4,-3.517720658,-4.965590201
173,-3.111457968,-12.75893281,0.195736598,-9.512543966,random,R,5,-1.167720658,-5.615590201
174,-7.693121727,-7.859580331,-0.160279843,3.803015403,random,R,6,-1.851053992,-3.298923534
175,-9.513695101,-6.796525167,-4.06816661,-2.937365074,random,R,7,3.348946008,1.901076466
176,-8.840422804,-7.742661984,-0.184176055,-1.530853031,random,R,8,1.232279342,-0.215590201
177,-6.403766206,-1.595778925,1.612662814,-8.222713605,random,R,9,-3.851053992,-2.298923534
178,-6.594210502,-12.24419291,1.022883069,-4.5394234,random,R,10,1.698946008,3.251076466
179,-6.021171423,-17.12728666,10.4253165,-4.877280285,random,R,11,3.215612675,7.767743133
180,-9.693159905,-11.49193467,-0.119873953,-2.910046391,random,R,12,0.165612675,-1.282256867
181,-11.57907569,-10.49598672,-6.430615163,-10.00074973,random,R,13,7.982279342,3.534409799
182,-10.40437157,-5.694451299,-0.379171684,-6.506781767,random,R,14,3.082279342,4.634409799
183,-8.829976157,-7.366006393,2.034278646,1.531956325,random,R,15,0.965612675,5.517743133
184,-7.227611407,-12.92249585,2.206797376,0.975364836,random,R,16,-2.167720658,-0.615590201
185,-5.714564816,-6.767474589,-1.064539075,3.584607727,random,R,17,5.598946008,1.151076466
186,-13.46653088,-12.47100514,5.638468357,-3.65595943,random,R,18,-6.834387325,-11.28225687
187,-6.114792842,-11.12403222,-4.592906945,-5.3723005,random,R,19,-2.984387325,-4.432256867
